Cod_Suer,ESTADO,ZAE,ZC,Suer,Edad,Variedad,Sac,Rend,Fecha,CICLO,Fecha_Cierre,TCH_REAL,Cort_Act,TCHM_R,Area_Actual,Cana_Ent,Ano,Mes,F_C_Ant,30_DAC,PST_0-4_Meses,PRC_4-9_Meses,0-15_DDC,16-30_DDC,31-45_DDC,46-60_DDC,61-75_DDC,76-90_DDC,91-105_DDC,106-120_DDC,121-135_DDC,136-150_DDC,151-165_DDC,166-180_DDC,181-195_DDC,196-210_DDC,211-225_DDC,226-240_DDC,241-255_DDC,256-270_DDC,271-285_DDC,30_DAC_Act
001_015,SOCA,10H5,6,15,13.47,VARIEDADESEXP.,17.437,12.261,27/09/2014,1,30/09/2014,128.56,4,9.544,3.19,410.1,2014,9,18/08/2013,61,432,511,59,14,59,21,38,38,169,34,15,55,48,55,101,42,58,10,45,74,53,47
001_015,SOCA,10H5,6,15,13.86,MISCELANEOS,17.46,12.405,12/08/2013,1,21/08/2013,139.49,3,10.064,3.19,445,2013,8,22/06/2012,71,121,479,0,0,0,5,0,0,47,69,106,64,48,47,29,19,7,95,8,17,47,59
001_015,PLANTILLA,10H5,6,15,12.32,MISCELANEOS,20.17,13.9,5/09/2011,1,13/09/2011,129.73,1,10.53,4.85,629.2,2011,9,31/08/2010,83,981,1001,83,66,83,164,178,188,119,100,66,53,57,136,229,16,108,248,92,29,59,75
001_015,SOCA,10H5,6,15,14.92,CC8592,16.15,11.236,5/12/2009,0,9/12/2009,93.68,6,6.279,4.9,459,2009,12,13/09/2008,115,677,786,72,33,72,108,165,72,87,68,78,53,95,79,150,149,69,80,112,21,12,185
001_015,SOCA,10H5,6,15,12.12,CC8592,15.544,10.97,7/09/2008,0,2/10/2008,96.97,5,8.001,3.98,385.9,2008,9,9/09/2007,126,748,1049,124,116,124,139,97,42,79,27,65,32,161,55,94,99,159,152,117,80,152,140
001_015,SOCA,10H5,6,15,11.86,CC8592,16.284,11.834,5/09/2007,0,18/09/2007,105.22,4,8.872,3.98,418.8,2007,9,14/09/2006,34,646,760,20,69,20,234,64,113,116,10,83,0,35,7,161,128,90,26,90,131,99,126
001_015,SOCA,10H5,6,15,13.96,CC8592,17.804,12.996,7/09/2006,0,29/09/2006,124.55,3,8.922,3.98,495.7,2006,9,15/07/2005,20,343,915,6,22,6,8,41,70,87,103,78,67,153,60,76,74,46,91,46,156,114,32
001_015,SOCA,10H5,6,15,12.35,CC8592,16.19,11.08,10/07/2005,0,14/07/2005,100.86,2,8.167,3.98,401.4,2005,7,4/07/2004,37,274,776,4,14,4,16,3,65,84,84,196,111,85,0,106,81,60,8,78,72,57,32
001_015A,SOCA,10H5,6,015A,12.62,CC011940,17.03,12.293,16/07/2018,2,30/07/2018,112.48,3,8.913,1.66,186.7,2018,7,2/07/2017,107,397,721,40,12,40,47,21,126,47,64,43,105,69,48,64,12,82,169,76,6,123,21
001_015A,SOCA,10H5,6,015A,14.46,CC011940,15.53,11.025,25/06/2017,2,27/06/2017,131.25,2,9.077,1.66,217.9,2017,6,17/04/2016,90,210,509,71,31,71,4,11,14,8,0,5,42,0,83,45,28,95,134,95,24,53,101
001_015A,PLANTILLA,10H5,6,015A,12.85,CC011940,14.59,10.289,11/04/2016,2,18/04/2016,108.48,1,8.442,1.66,180.1,2016,4,22/03/2015,202,298,366,4,233,4,11,6,15,4,21,52,0,0,27,19,22,106,57,93,78,5,89
001_015A,SOCA,10H5,6,015A,14.09,CC934429,13.71,9.452,2/02/2015,1,13/02/2015,91.52,4,6.496,1.66,151.9,2015,2,6/12/2013,213,433,266,64,11,64,50,43,115,28,58,50,53,38,26,8,4,0,6,0,57,24,114
001_015A,SOCA,10H5,6,015A,14,MISCELANEOS,14.92,10.53,30/11/2013,1,3/12/2013,121.71,3,8.694,1.66,202,2013,11,6/10/2012,61,386,577,64,106,64,48,48,28,20,8,103,7,49,67,139,73,49,65,49,25,0,211
001_015A,SOCA,10H5,6,015A,12.81,MISCELANEOS,16.3,11.437,30/09/2012,1,2/10/2012,151.05,2,11.792,1.66,250.7,2012,9,11/09/2011,118,886,817,129,115,129,105,106,115,161,26,181,57,48,50,101,69,121,127,123,63,0,47
001_015A,SOCA,10H5,6,015A,12.65,CC8592,14.69,10.51,20/12/2007,0,27/12/2007,58.02,3,4.586,0.63,36.6,2007,12,5/12/2006,266,405,727,15,44,15,78,0,35,119,99,149,43,26,201,16,0,127,44,127,37,84,161
